升压变压器
多版发帖动词电缆软管组件
特殊紧固件套管片材
硫化纤维纸自由连接器
自由电缆连接器
电缆连接器
自由板装连接器
辅助电源电路
辅助设备电源
送丝控制器
零插拔力连接器
端电容器
隔离电容器
加热电容器
气隙加热电容器
串联电容器
集束架空电缆
线性电源
非线性电源
一般继电器继电器类型
电气继电器
有或无继电器
基础继电器
电磁继电器
固体继电器
单稳态继电器
双稳态继电器
非极化继电器
耐久性继电器可靠度
不合格继电器
时间继电器时间继电器类型
动作延时继电器
释放延时继电器
闪光继电器
对称闪光继电器
非对称闪光继电器
星三角继电器
累加时间继电器
脉冲延时继电器
间隔定时继电器
保持式时间继电器
串联负载时间继电器
动作延时继电器释放时间
释放延时继电器动作时间
测量继电器继电器类型术语
量度继电器
定时限量度继电器
它定时限量度继电器
自定时限量度继电器
静态继电器
模拟式继电器
数字继电器
直流极化继电器
交流极化继电器
保护继电器
控制继电器
集成保护继电器
集成控制继电器
集成保护控制继电器
自适应继电器
一次继电器
二次继电器
分流继电器
过继电器
欠继电器
欠和过继电器
变化率继电器
频率继电器
电抗继电器
距离继电器
姆欧继电器
相故障继电器
电热继电器
偏置继电器
比率继电器
不平衡继电器
方向继电器
调节继电器
伏赫比继电器
偏移姆欧继电器
辅助电源量
激励某一继电器动词
测量继电器特性术语
绝缘套管电缆引入装置夹紧件
最大电缆电容
最大电缆电感
安全设施电源
备用电源
焊接电源
弧焊电源
等离子切割电源
焊接电缆
送丝装置送丝控制器
稳定电源
恒流电源
恒压电源
微波开关二极管
绝缘套管
恒压恒流电源
可存储可编程逻辑控制器
等电位联结母线
绝缘物绝缘子
盘形悬式绝缘子
多元件绝缘子
实心绝缘子
长棒形绝缘子
复合绝缘子
空心绝缘子
蝶式绝缘子
耐污型绝缘子
聚合物绝缘子
刚性绝缘子
线路柱式绝缘子
针式绝缘子
配套连接器
手柄套管
密封套管
电缆支撑套管
倒向开关
丝网印刷工艺电缆夹
支柱绝缘子
针式支柱绝缘子
圆柱形支柱绝缘子
户外支柱绝缘子
户内支柱绝缘子
拉紧绝缘子
电解电容器纸
电弧炉操作开关
电弧炉紧急开关
加热电缆
挠性电缆
固定连接器浮动安装连接器
自由连接器无极性连接器
接线板零插拔力连接器
固定板装连接器
绝缘电缆
带绝缘电缆
分相屏蔽电缆
分隔同心式电缆
统包屏蔽电缆
充油电缆
管式充油电缆
同心中性线电缆
压力电缆
压气电缆
充气电缆
自容式压力电缆
单芯电缆
架空电缆
防扭电缆
点火电缆
控制电缆
热电偶补偿电缆
仪表电缆
输出电缆
爆破电缆
热电偶延伸电缆
管式电缆
扁电缆
单相同心中性线电缆
多导体电缆
多芯电缆
导引电缆
软电缆
三相同心中性线电缆
分相铅套电缆
理想电容器
电缆包皮电缆套管
总低压配电柜
总中压配电柜
照明配电柜
控制箱开关箱开关柜
屏蔽电缆
控制箱闸盒转换开关箱
三芯电缆
同轴电缆
连接电缆中继电缆
橡皮绝缘电缆
双断开关
急停开关
自动断路器
进线开关
延时开关
过载电流断路器
电线套管
拉绳开关
按钮开关
遥控开关
盒式开关防水开关
推式开关
按板开关
套套管
接地开关
单母线接线
单母线分段接线
单母线分段带旁路接线
双母线接线
双母线分段接线
双母线带旁路接线
双母线分段带旁路接线
一个半断路器接线
双断路器接线
三分之四断路器接线
环形母线变电站
多角形母线变电站
三母线变电站
工作母线
旁路母线
有载分段母线
无载分段母线
硬母线
软母线
封闭母线
变电站电缆槽道
变电站电缆管道
接地回路连接器
主变压器
备用变压器
厂用变压器
联络变压器
油浸式变压器
干式变压器
密封式变压器
六氟化硫绝缘变压器
单相变压器
三相变压器
独立绕组变压器
增压变压器
接地变压器
有载调压变压器
壳式变压器
芯式变压器
户内变压器
户外变压器
移动变压器
柱上变压器
有载分接开关
无励磁分接开关
切换开关
选择开关
瓷套管
油浸纸套管
电容型套管
油气套管
串联电抗器
并联电抗器
消弧电抗器
三相中性点电抗器
滤波电抗器
油浸式电抗器
干式电抗器
密封式电抗器
自饱和并联电抗器
可控饱和并联电抗器
电力电容器
电力电子电容器
纸介质电容器
金属箔电容器
金属化电容器
晶闸管投切电容器
晶闸管控制电抗器
晶闸管控制变压器
相间功率控制器
统一潮流控制器
变压器断路器
馈线断路器
母线转换断路器
联络断路器
柱上断路器
外壳带电断路器
落地罐式断路器
压缩空气断路器
六氟化硫断路器
固体产气断路器
油断路器
少油断路器
多油断路器
磁吹断路器
自脱扣断路器
单极隔离开关
三极隔离开关
单柱式隔离开关
双柱式隔离开关
三柱式隔离开关
水平旋转式隔离开关
双臂伸缩式隔离开关
单臂伸缩式隔离开关
V型隔离开关
破冰式隔离开关
馈线隔离开关
母线段隔离开关
柱上隔离开关
快速接地开关
母线接地开关
通用负荷开关
专用负荷开关
负荷隔离开关
自动配电开关
高压开关装置
高压开关设备和控制设备
户外开关设备和控制设备
户内开关设备和控制设备
金属封闭开关设备和控制设备
铠装式金属封闭开关设备和控制设备
间隔式金属封闭开关设备和控制设备
箱式金属封闭开关设备和控制设备
充气式金属封闭开关设备和控制设备
绝缘封闭开关设备和控制设备
气体绝缘金属封闭开关设备
混合式气体绝缘金属封闭开关设备
单柱式隔离开关接触区
控制开关
密度继电器
隔离开关快速瞬态过电压
高压开关设备联锁装置
自耦式互感器
组合式互感器
电子式互感器
母线式电流互感器
电缆式电流互感器
套管式电流互感器
钳式电流互感器
棒式电流互感器
支柱式电流互感器
总加电流互感器
匹配式电流互感器
保护用电流互感器
电容式电压互感器
电磁式电压互感器
接地式电压互感器
不接地电压互感器
保护用电压互感器
双功能电压互感器
匹配式电压互感器
阀式避雷器
碳化硅阀式避雷器
金属氧化物避雷器
无间隙金属氧化物避雷器
管式避雷器
线路阻波器
耦合电容器
变电站二次回路电源
